	459N	90	138	145	123	139	153	C439-639	C526-724	C174-286	103A	112A	72A	180A	179	798-984	647-853	718-900T	425-609	521-714	S-C685T	H-C1095T	H-C558T	I-C578T	I-C800T	I-C840T	I-C532T	I-C396T	S-C61	I-C451	S-U20T	C-C108T	C-C215T	C-C242T	C-C415T	C-C492T	I-U58T	I-C768T	I-C1034T	I-C1056T
UBC	3958.55	4705.92	1538.28	2012.11	2739.8	3344.54	4333.54	2825.75	4064.76	2670.53	5707.81	5391.46	6204.99	6157.59	3428.6	3952.57	3825.63	7201.26	3541.88	5302.33	5004.66	3982.2	4716.79	1231.36	4086.61	5033.92	11931.44	4776.18	8241.99	4511.83	3560.3	857.83	2947.83	116.89	4724.34	6953.87	4252.38	3663.8	2349.34	1041.2
UBB	6097.34	7252.68	2305.99	3251.92	6660.88	6149.64	5090.95	3558.9	5589.55	3260.76	7537.55	10644.62	3910.08	7209.09	3942.93	4597.58	4437.37	5224.15	4052.46	8106.67	6738.58	2557.64	5725.63	1895.72	7278.89	13243.5	9251	5741.03	3607.18	8659.2	3937.48	1284.08	4760.91	127.18	4355.37	5202.75	6182.8	7544.72	2962.61	1368.16
SUI1	2936.85	5169.71	1265.48	1702.49	3124.58	2175.99	3257.97	1464.83	3355.63	2045.94	5416.9	10814.62	7406.78	9556.48	1828.7	3418.58	3527.49	3402.81	3154.53	5348.42	5554.78	4537.32	5647.97	1321.67	7886.91	9066.08	13860.22	4372.62	9727.56	6277.99	3508.78	910.48	3663.27	125.47	6713.07	6258.38	3996.02	2808.79	1975.51	533.07
NACA	7499.45	3367.78	1882.46	1993.03	3760.65	3862.52	4340.72	2910.31	4307.07	2521.06	5390.79	10404.42	7988.22	6607.63	2573.59	3452.85	4197.06	5815.8	2914.31	5848.81	9737.98	2387.8	6882.77	3229.59	4421.9	9340.91	13012.8	3253.21	8576.97	7235.32	6672.36	1797	4838.07	144.37	7913.05	6687.99	5558.34	12555.35	2285.18	1691.63
FLJ20030	2518.29	3989.24	1239.6	1628.98	2426.44	2063.54	2134.1	1658.21	2727.46	1896.28	3604.04	7223.42	5135.79	6590.27	3221.06	6660.63	5460.45	5322.13	1764.98	5789.94	8308.01	2109.33	4029.13	1782.45	2423.48	4858.49	13076.88	446.16	10678.68	7138.49	4953.67	818.42	1513.25	110.13	9462.04	4360.18	8573.48	6359.4	2221.76	895.84
CFL1	2410.28	6360.44	2482.09	2865.56	7677.81	5710.53	5879.24	3662.49	7269.54	3794.67	7225.91	7992.89	2747.37	7313.78	3717.93	6400.62	3715.28	5005.81	3545.24	3575.28	8450.94	3161.43	4683.33	2917.74	3697.27	10980.66	9299.28	3334.39	3742.52	5709.53	2622.74	1166.6	4575.58	103.7	6967.93	7116.15	4492.8	6965.74	2293.35	1147.16
ACTB	1874.75	6584.42	2283.46	2735.25	7704.76	4111.8	3685.19	6702.5	6229.51	3602.57	4930.64	6149.5	3694.39	5704.48	4941.24	3769.8	5075.71	7170.09	4627.57	7410.67	6179.28	2687.39	3486.24	1774.75	3715.78	6216.48	8916.01	2214.35	3298.47	6575.17	3223.87	921.87	4346.73	114.47	6224.39	8151.69	3917.35	3396.25	2097.19	705.42
CLTC	3425.96	4481.03	2497.37	2547.03	6652.33	4442.88	4713.66	2921.54	5712.1	3438.16	7040.96	6885.75	3409.62	5412.12	2972.3	3478.11	4378.36	4095.93	3474.68	4249.38	3331.17	2092	4213.21	1858.36	1830.08	4428.1	7092.05	1898.27	6300.31	5429.72	2367.4	920.38	2770.98	90.77	4835.06	4428.52	2734.87	3198.26	1294.14	673.96
RPS13	2239.75	2904.27	1610.1	1737.97	3015.12	2816.63	2880.26	2480.9	3606.58	2777.96	1524.36	8849.46	6209.48	4928.71	2211.5	5425.96	5644.41	3035.86	3168.59	5176.47	6699.62	1532.75	6460.61	1368.67	7990.45	10132.59	11731.79	3723.24	7487.45	6722.05	5590.82	1146.99	2768.08	58.09	5850.36	4572.46	3278.8	4030.86	1814.74	420.51
RPS23	3031.86	2828.19	1545.22	2029.65	2831.53	3241.66	2663.46	2391.16	3224.79	3112.8	5302.32	11761.02	6374.25	5512.57	2507.02	3835.9	6833.87	3578.35	2911.06	5854.96	9441.2	2278.88	9754.52	2077.54	10740.16	12221.8	16024.67	5582.61	7949.44	7497.88	7645.96	1862.91	4427.38	129.6	5595.34	8442.93	6144.38	8202.12	2815.27	878.27
GAPD	4404.76	4965.53	2147.16	2266.59	5225.92	4406.85	3656.77	2436.64	5039.99	2760.01	4053.56	9164.5	4157.14	4890.6	2759.79	4968.94	8808.84	5596.79	3173.46	4584.69	5122.17	4654.46	5677.21	1274.29	5697.61	9995.03	7395.11	5155.29	6451.67	8975.81	2247.57	1409.28	5714.05	212.68	4620.3	5641.73	4487.96	5359.22	2583.82	383.52
TPT1	3204.57	5632.18	1910.66	2511.45	3506.67	3722.51	3550.16	2496.22	4112.83	2769.79	5066.05	8206.5	5151.87	5993.87	2698.65	3905.65	8254.33	4797.2	3809.26	6838.5	7250.06	2225.16	6964.39	2369.95	8508.34	7995.71	11388.92	4013.71	6986.3	5128.3	9100.87	1689.71	3625.27	196.75	5867.08	8022.63	4990.69	4296.39	3412.88	1045.43
TUBA6	2962.46	4554.39	1850	2303.22	8096.7	3553.46	6104.44	4218.23	6194.05	3528.83	4741.92	12122.17	8045.37	8058.29	3150.8	4651	8631.49	5774.25	3742.75	4687.84	4344.21	3978.68	4386.05	2147.86	6966.85	10664.17	11397.31	4885.81	3967.3	9210.64	2648.39	1149.85	4743.43	96.83	7681.06	4975.93	3495.83	4314.38	1723.03	695.23
group	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4
